date,home_team,score,away_team
08-05-2022,Fortaleza EC,1 - 1,Sao Paulo
15-05-2022,Botafogo FR,3 - 1,Fortaleza EC
22-05-2022,Fortaleza EC,0 - 1,Fluminense FC
28-05-2022,Fortaleza EC,1 - 1,Juventude
01-06-2022,Fortaleza EC,0 - 1,Ceará SC
05-06-2022,Flamengo RJ,1 - 2,Fortaleza EC
09-06-2022,Fortaleza EC,1 - 1,Goiás EC
12-06-2022,Fortaleza EC,0 - 0,CA Paranaense
16-06-2022,Avai,3 - 2,Fortaleza EC
19-06-2022,Fortaleza EC,1 - 0,America Mineiro
26-06-2022,Atletico Mineiro,3 - 2,Fortaleza EC
03-07-2022,Coritiba FBC,2 - 1,Fortaleza EC
10-07-2022,Fortaleza EC,0 - 0,SE Palmeiras
17-07-2022,AC Goianiense,0 - 1,Fortaleza EC
20-07-2022,RB Bragantino,2 - 1,Fortaleza EC
24-07-2022,Fortaleza EC,0 - 0,Santos
31-07-2022,Cuiaba,0 - 1,Fortaleza EC
07-08-2022,Fortaleza EC,3 - 0,Internacional RS
14-08-2022,Ceará SC,0 - 1,Fortaleza EC
21-08-2022,Fortaleza EC,1 - 0,Corinthians
28-08-2022,Sao Paulo,? - ?,Fortaleza EC
10-04-2022,Coritiba FBC,3 - 0,Goiás EC
16-04-2022,Goiás EC,1 - 1,SE Palmeiras
25-04-2022,Avai,3 - 2,Goiás EC
30-04-2022,Goiás EC,2 - 2,Atletico Mineiro
08-05-2022,AC Goianiense,0 - 1,Goiás EC
15-05-2022,Goiás EC,1 - 0,Santos
21-05-2022,Flamengo RJ,1 - 0,Goiás EC
28-05-2022,Goiás EC,1 - 1,RB Bragantino
06-06-2022,Botafogo FR,1 - 2,Goiás EC
09-06-2022,Fortaleza EC,1 - 1,Goiás EC
12-06-2022,Goiás EC,1 - 1,Ceará SC
15-06-2022,Goiás EC,1 - 2,Internacional RS
19-06-2022,Corinthians,1 - 0,Goiás EC
26-06-2022,Goiás EC,1 - 0,Cuiaba
03-07-2022,America Mineiro,1 - 0,Goiás EC
09-07-2022,Goiás EC,2 - 1,CA Paranaense
17-07-2022,Juventude,0 - 0,Goiás EC
20-07-2022,Goiás EC,2 - 3,Fluminense FC
23-07-2022,Sao Paulo,3 - 3,Goiás EC
30-07-2022,Goiás EC,1 - 0,Coritiba FBC
07-08-2022,SE Palmeiras,3 - 0,Goiás EC
13-08-2022,Goiás EC,1 - 1,Avai
20-08-2022,Atletico Mineiro,0 - 1,Goiás EC
27-08-2022,Goiás EC,? - ?,AC Goianiense
10-04-2022,Atletico Mineiro,2 - 0,Internacional RS
17-04-2022,Internacional RS,2 - 1,Fortaleza EC
23-04-2022,Fluminense FC,0 - 1,Internacional RS
01-05-2022,Internacional RS,0 - 0,Avai
08-05-2022,Juventude,1 - 1,Internacional RS
14-05-2022,Internacional RS,2 - 2,Corinthians
22-05-2022,Cuiaba,1 - 1,Internacional RS
30-05-2022,Internacional RS,1 - 1,AC Goianiense
05-06-2022,RB Bragantino,0 - 2,Internacional RS
09-06-2022,Santos,1 - 1,Internacional RS
12-06-2022,Internacional RS,3 - 1,Flamengo RJ
15-06-2022,Goiás EC,1 - 2,Internacional RS
19-06-2022,Internacional RS,2 - 3,Botafogo FR
25-06-2022,Internacional RS,3 - 0,Coritiba FBC
02-07-2022,Ceará SC,1 - 1,Internacional RS
11-07-2022,Internacional RS,1 - 0,America Mineiro
16-07-2022,CA Paranaense,0 - 0,Internacional RS
20-07-2022,Internacional RS,3 - 3,Sao Paulo
24-07-2022,SE Palmeiras,2 - 1,Internacional RS
31-07-2022,Internacional RS,3 - 0,Atletico Mineiro
07-08-2022,Fortaleza EC,3 - 0,Internacional RS
14-08-2022,Internacional RS,3 - 0,Fluminense FC
22-08-2022,Avai,0 - 1,Internacional RS
22-08-2022,Avai,? - ?,Internacional RS
11-04-2022,Juventude,2 - 2,RB Bragantino
16-04-2022,America Mineiro,4 - 1,Juventude
24-04-2022,Juventude,0 - 1,Cuiaba
01-05-2022,Botafogo FR,1 - 1,Juventude
08-05-2022,Juventude,1 - 1,Internacional RS
15-05-2022,Avai,1 - 2,Juventude
21-05-2022,Juventude,0 - 3,SE Palmeiras
28-05-2022,Fortaleza EC,1 - 1,Juventude
05-06-2022,Juventude,1 - 0,Fluminense FC
08-06-2022,Juventude,1 - 3,CA Paranaense
11-06-2022,Corinthians,2 - 0,Juventude
15-06-2022,Juventude,1 - 2,Santos
19-06-2022,AC Goianiense,3 - 1,Juventude
26-06-2022,Sao Paulo,0 - 0,Juventude
02-07-2022,Juventude,1 - 2,Atletico Mineiro
10-07-2022,Coritiba FBC,2 - 2,Juventude
17-07-2022,Juventude,0 - 0,Goiás EC
20-07-2022,Flamengo RJ,4 - 0,Juventude
24-07-2022,Juventude,1 - 0,Ceará SC
31-07-2022,RB Bragantino,1 - 0,Juventude
06-08-2022,Juventude,0 - 1,America Mineiro
13-08-2022,Cuiaba,1 - 0,Juventude
21-08-2022,Juventude,2 - 2,Botafogo FR
11-04-2022,Juventude,2 - 2,RB Bragantino
17-04-2022,RB Bragantino,4 - 0,AC Goianiense
23-04-2022,RB Bragantino,1 - 1,Sao Paulo
30-04-2022,Ceará SC,0 - 1,RB Bragantino
08-05-2022,RB Bragantino,0 - 1,Corinthians
11-05-2022,RB Bragantino,1 - 1,Atletico Mineiro
14-05-2022,SE Palmeiras,2 - 0,RB Bragantino
28-05-2022,Goiás EC,1 - 1,RB Bragantino
05-06-2022,RB Bragantino,0 - 2,Internacional RS
08-06-2022,RB Bragantino,1 - 0,Flamengo RJ
11-06-2022,Cuiaba,1 - 1,RB Bragantino
15-06-2022,RB Bragantino,4 - 2,Coritiba FBC
19-06-2022,Santos,2 - 2,RB Bragantino
25-06-2022,CA Paranaense,4 - 2,RB Bragantino
04-07-2022,RB Bragantino,0 - 1,Botafogo FR
09-07-2022,RB Bragantino,4 - 0,Avai
17-07-2022,America Mineiro,0 - 3,RB Bragantino
20-07-2022,RB Bragantino,2 - 1,Fortaleza EC
24-07-2022,Fluminense FC,2 - 1,RB Bragantino
31-07-2022,RB Bragantino,1 - 0,Juventude
06-08-2022,AC Goianiense,2 - 1,RB Bragantino
14-08-2022,Sao Paulo,3 - 0,RB Bragantino
21-08-2022,RB Bragantino,1 - 1,Ceará SC
27-08-2022,Corinthians,? - ?,RB Bragantino
10-04-2022,SE Palmeiras,2 - 3,Ceará SC
16-04-2022,Goiás EC,1 - 1,SE Palmeiras
20-04-2022,Flamengo RJ,0 - 0,SE Palmeiras
23-04-2022,SE Palmeiras,3 - 0,Corinthians
08-05-2022,SE Palmeiras,1 - 1,Fluminense FC
14-05-2022,SE Palmeiras,2 - 0,RB Bragantino
21-05-2022,Juventude,0 - 3,SE Palmeiras
29-05-2022,Santos,0 - 1,SE Palmeiras
05-06-2022,SE Palmeiras,0 - 0,Atletico Mineiro
09-06-2022,SE Palmeiras,4 - 0,Botafogo FR
12-06-2022,Coritiba FBC,0 - 2,SE Palmeiras
16-06-2022,SE Palmeiras,4 - 2,AC Goianiense
20-06-2022,Sao Paulo,1 - 2,SE Palmeiras
26-06-2022,Avai,2 - 2,SE Palmeiras
03-07-2022,SE Palmeiras,0 - 2,CA Paranaense
10-07-2022,Fortaleza EC,0 - 0,SE Palmeiras
18-07-2022,SE Palmeiras,1 - 0,Cuiaba
21-07-2022,America Mineiro,0 - 1,SE Palmeiras
24-07-2022,SE Palmeiras,2 - 1,Internacional RS
30-07-2022,Ceará SC,1 - 2,SE Palmeiras
07-08-2022,SE Palmeiras,3 - 0,Goiás EC
13-08-2022,Corinthians,0 - 1,SE Palmeiras
21-08-2022,SE Palmeiras,1 - 1,Flamengo RJ
27-08-2022,Fluminense FC,? - ?,SE Palmeiras
09-04-2022,Fluminense FC,0 - 0,Santos
17-04-2022,Santos,2 - 1,Coritiba FBC
24-04-2022,Santos,3 - 0,America Mineiro
02-05-2022,Sao Paulo,2 - 1,Santos
08-05-2022,Santos,4 - 1,Cuiaba
15-05-2022,Goiás EC,1 - 0,Santos
21-05-2022,Santos,0 - 0,Ceará SC
29-05-2022,Santos,0 - 1,SE Palmeiras
04-06-2022,CA Paranaense,2 - 2,Santos
09-06-2022,Santos,1 - 1,Internacional RS
11-06-2022,Atletico Mineiro,1 - 1,Santos
15-06-2022,Juventude,1 - 2,Santos
19-06-2022,Santos,2 - 2,RB Bragantino
25-06-2022,Corinthians,0 - 0,Santos
02-07-2022,Santos,1 - 2,Flamengo RJ
10-07-2022,Santos,1 - 0,AC Goianiense
16-07-2022,Avai,1 - 0,Santos
